nodeid	1	2	3	4	5	6
49	0.35182870194857335	0.35268713741069396	1.7813870042102735E-5	1.7813870042102735E-5	0.20684948928476654	5.8952488820753597E-5
48	1.0	1.0	1.870400395873822E-5	1.870400395873822E-5	1.870400395873822E-5	6.189636995840628E-5
55	0.2449364089803527	3.681499046445853E-5	7.961909325737694E-6	0.023893663236046886	0.21929155595553818	2.6358478536023342E-5
54	0.43397324346295163	3.531288856105885E-5	7.637012879146044E-6	7.637012879146044E-6	0.18971753708071593	2.5283229149998478E-5
53	6.605411287948263E-6	5.674883349012372E-6	1.2271952647412278E-6	1.2271952647412278E-6	0.27600721160474817	4.063659941213403E-6
52	3.19721043163377E-5	2.7467678469666218E-5	5.9402149854948095E-6	5.9402149854948095E-6	0.27755321072350736	1.9666974311826074E-5
59	0.3976410592984142	0.4102839663980681	8.90946157751968E-6	8.90946157751968E-6	8.90946157751968E-6	2.9494493366966593E-5
58	0.03555458102902042	3.204412640972769E-5	0.02079700333708677	6.930026233613426E-6	0.23877115108125765	2.294319744660741E-5
57	0.5614842557298267	0.3277191259303099	8.90946157751968E-6	8.90946157751968E-6	0.11896159616079949	2.9494493366966593E-5
56	0.013239663149182847	5.96519995274703E-5	1.2901720241180076E-5	1.2901720241180076E-5	0.2663985026408409	4.270433519366516E-5
63	0.912636947748523	1.152629544132901E-4	2.4933706169802145E-5	2.4933706169802145E-5	2.4933706169802145E-5	8.249281517238868E-5
62	0.3016809527129389	0.09733869280147302	1.2901720241180076E-5	1.2901720241180076E-5	1.2901720241180076E-5	4.270433519366516E-5
61	0.32054948756243906	0.32265924760345926	1.1338436820454237E-5	0.05670341324213035	0.24268684223141	3.7532077986692414E-5
60	0.13128059042201687	0.09089859238488594	1.5588217091551337E-5	1.5588217091551337E-5	0.09900241389724847	5.1591400760638116E-5
68	5.594025238589754E-5	0.7233180474406903	0.19704642582274634	1.039387900596803E-5	1.039387900596803E-5	3.440664263089638E-5
69	4.683715756505723E-5	0.29514168421281456	8.702321377584402E-6	8.702321377584402E-6	0.2041691248866897	2.880893503572358E-5
70	0.5082922549737745	0.1864314218159344	1.3362302127736558E-5	1.3362302127736558E-5	1.3362302127736558E-5	0.5812147326984591
71	0.1410523990606003	0.14231712037361252	1.2471831336905298E-5	1.2471831336905298E-5	0.2773633518759524	4.128206068638552E-5
64	1.341712471063174E-4	1.152629544132901E-4	2.4933706169802145E-5	2.4933706169802145E-5	0.25906248774674123	0.018610837131227534
65	0.2502048030497291	0.25114135745944915	1.1005081088502023E-5	1.1005081088502023E-5	0.12804160876542342	3.642908049960972E-5
66	0.717815044629278	0.5540390859478374	1.5588217091551337E-5	1.5588217091551337E-5	1.5588217091551337E-5	5.1591400760638116E-5
67	0.2281098350898872	0.23026103134142628	7.337569149568486E-6	7.337569149568486E-6	0.13401818912062113	0.473938834317315
76	0.3967836767434577	0.4003415998759906	6.682573421583774E-6	6.682573421583774E-6	0.20981086347925026	2.2124274308880014E-5
77	0.8077502963409843	9.607087493422745E-5	2.0780833375689585E-5	2.0780833375689585E-5	0.28595849650034755	6.8763824750931E-5
78	1.4374367161000372E-4	1.2348582767313579E-4	2.671315053281678E-5	2.671315053281678E-5	0.27704201101241643	8.83742690391001E-5
79	1.0	1.0	2.4933706169802145E-5	2.4933706169802145E-5	0.2859487710897529	8.249281517238868E-5
72	0.15336744011686676	0.25899849667700386	5.4237494129059165E-6	5.4237494129059165E-6	5.4237494129059165E-6	0.06971041142006634
73	0.2162081384387827	0.7431981537243875	0.10607499749663585	4.024261712259002E-6	4.024261712259002E-6	1.332457633230664E-5
74	0.42261199638834235	0.20755191944295165	0.12059308752141557	1.039387900596803E-5	0.14319088588003037	3.440664263089638E-5
75	0.8073833051869578	4.119587379985642E-5	8.90946157751968E-6	8.90946157751968E-6	0.18265194900669346	2.9494493366966593E-5
85	1.257941717172314E-4	1.0806685183477949E-4	2.3376523915066442E-5	0.10271781122875297	2.3376523915066442E-5	0.034840370255827396
84	0.4982797986228551	0.6201611664309733	2.4933706169802145E-5	2.4933706169802145E-5	2.4933706169802145E-5	8.249281517238868E-5
87	0.22585517065639496	0.5087849559871175	9.126708003328196E-6	9.126708003328196E-6	9.126708003328196E-6	3.0213386380154505E-5
86	0.5920958290362587	7.207044958574237E-5	1.5588217091551337E-5	1.5588217091551337E-5	1.5588217091551337E-5	5.1591400760638116E-5
81	0.4032923045807113	0.4056591429153985	7.484296577061488E-6	7.484296577061488E-6	7.484296577061488E-6	2.477776593125147E-5
80	3.729913780121029E-5	1.0	6.930026233613426E-6	6.930026233613426E-6	6.930026233613426E-6	2.294319744660741E-5
83	0.943810633015744	0.26682494304195953	1.169264132207829E-5	1.169264132207829E-5	0.08322539884020135	3.870398468576069E-5
82	0.4722750165426141	0.03142726541638304	1.3856983168998692E-5	0.1618233709982947	1.3856983168998692E-5	0.24150466715904556
93	0.08584350761770441	0.7669791276287211	0.02427968363393855	2.0231541284245744E-6	0.028325954460321504	6.699256605079375E-6
92	0.363611824040273	0.3668722525692871	1.169264132207829E-5	1.169264132207829E-5	0.28217605692777753	3.870398468576069E-5
95	0.47463914560489856	0.6780220027518719	1.9687826332265288E-5	1.9687826332265288E-5	0.10085979519499094	6.514957709934201E-5
94	0.900373260994595	0.06943594715457498	1.2901720241180076E-5	1.2901720241180076E-5	1.2901720241180076E-5	4.270433519366516E-5
89	0.7044941900584955	0.46174606048483224	1.626563366878817E-5	1.626563366878817E-5	0.138198665429275	5.383205043597019E-5
88	8.753624491467799E-5	7.520168919368108E-5	1.626563366878817E-5	1.626563366878817E-5	0.2785325657503324	5.383205043597019E-5
91	1.341712471063174E-4	0.2960061152254801	2.4933706169802145E-5	2.4933706169802145E-5	2.4933706169802145E-5	8.249281517238868E-5
90	0.999759201394646	1.0	1.2901720241180076E-5	1.2901720241180076E-5	0.2929441031881109	4.270433519366516E-5
102	0.9995531417947455	1.0	1.1005081088502023E-5	1.1005081088502023E-5	0.19537437366260368	3.642908049960972E-5
103	0.4943257352260381	0.1186398902733434	5.19781911893965E-6	5.19781911893965E-6	0.19011166954850667	1.720955036170579E-5
100	0.9697973715301699	0.3546668920634204	1.2471831336905298E-5	1.2471831336905298E-5	0.2845234165495669	4.128206068638552E-5
101	0.20279106359661667	0.23636778967608768	2.5288771572148737E-6	2.5288771572148737E-6	0.23272346210036532	8.373721192515178E-6
98	0.3703659627856827	4.220022819428514E-5	9.126708003328196E-6	9.126708003328196E-6	0.19302346642557977	3.0213386380154505E-5
99	0.19728396933610878	0.19695663968025515	6.342854510378033E-6	6.342854510378033E-6	0.2176350134997402	2.099980686261505E-5
96	0.4297169070019002	0.4335701029198652	1.169264132207829E-5	1.169264132207829E-5	0.17711227256190798	0.42035174952580223
97	0.6508059012585826	0.6536716924487643	0.08635245982159029	0.1349285474180386	1.4389693563917161E-5	0.010755145993104315
110	0.3614510328575226	0.024246334340240934	1.0690740033377982E-5	1.0690740033377982E-5	0.17234224402790088	3.538891852426177E-5
111	0.4618455773718745	0.47086266617307676	1.1005081088502023E-5	1.1005081088502023E-5	1.1005081088502023E-5	3.642908049960972E-5
108	0.6766437576994627	0.21511659652198117	1.2069678408082636E-5	1.2069678408082636E-5	1.2069678408082636E-5	3.9951502755298714E-5
109	5.442911421572594E-5	4.676032695870573E-5	1.0113075648556676E-5	1.0113075648556676E-5	0.2759351711290622	3.3477409957024563E-5
106	0.7439242507325561	0.29953959751459175	1.169264132207829E-5	1.169264132207829E-5	1.169264132207829E-5	3.870398468576069E-5
107	0.7325472571368757	6.653031551247657E-5	1.4389693563917161E-5	1.4389693563917161E-5	0.12308227854454502	4.762680089325026E-5
104	0.925736491787789	0.9340375505759888	7.796054930017923E-6	0.07466993416803056	0.22934538494158907	2.5809640436957586E-5
105	1.1991484601343175E-5	0.0316919828436969	2.2278613480570323E-6	2.2278613480570323E-6	0.2614537509245612	7.377023278945918E-6
119	7.457577447101021E-5	6.406783267080532E-5	1.3856983168998692E-5	0.18504275804298906	1.3856983168998692E-5	0.08594273080385317
118	2.0767263320857292E-5	0.6268298995499322	3.858332455606837E-6	3.858332455606837E-6	0.11708643888752684	1.277522503517232E-5
117	0.48389931830489985	0.4939820194075696	5.585636179208785E-6	5.585636179208785E-6	5.585636179208785E-6	1.84932974982226E-5
116	0.2601997675454362	0.4011063472233899	6.134928270652615E-6	6.134928270652615E-6	6.134928270652615E-6	0.08504939983705409
115	0.4307696741570463	0.43676055437325434	5.670266463280641E-6	5.670266463280641E-6	5.670266463280641E-6	1.8773422735258092E-5
114	0.35054983777395243	0.3370697312088655	9.847019894827011E-6	9.847019894827011E-6	9.847019894827011E-6	3.2597014791292214E-5
113	0.4331832379643643	0.4394740603572612	1.1005081088502023E-5	1.1005081088502023E-5	1.1005081088502023E-5	3.642908049960972E-5
112	0.40557427281893793	0.4080843865385254	1.1005081088502023E-5	1.1005081088502023E-5	1.1005081088502023E-5	3.642908049960972E-5
127	1.0	1.4403722540804042E-4	3.116090053963085E-5	3.116090053963085E-5	0.2866020712040167	1.030716703131702E-4
126	0.24357771349039312	4.0238184022884337E-5	8.702321377584402E-6	0.0362247300861506	0.22542493654386841	2.880893503572358E-5
125	0.1616981176862291	0.48836169692822895	4.798024309487412E-6	4.798024309487412E-6	0.15719220332524297	1.5886138243958947E-5
124	4.2852495148124565E-5	3.681499046445853E-5	7.961909325737694E-6	7.961909325737694E-6	0.2759525602094002	2.6358478536023342E-5
123	0.016446268668724232	3.531288856105885E-5	7.637012879146044E-6	7.637012879146044E-6	0.2694270781951307	2.5283229149998478E-5
122	4.5773161682441785E-5	0.17296991659691544	0.21206907377312864	8.50461365513082E-6	0.025522300250753027	2.8154612877199222E-5
121	1.0	1.0	2.200237664003502E-5	2.200237664003502E-5	2.200237664003502E-5	7.280266606460119E-5
120	4.19599559079478E-5	0.27031739854878367	7.796054930017923E-6	0.03898794789566004	7.796054930017923E-6	2.5809640436957586E-5
137	0.3702867170429719	0.3714940672103521	6.2371508738371576E-6	6.2371508738371576E-6	0.22142294908249438	2.0649896049227972E-5
136	0.1614173758296511	1.0	6.342854510378033E-6	6.342854510378033E-6	6.342854510378033E-6	2.099980686261505E-5
139	0.8019566209397325	0.37669578072271026	0.09891308579189262	1.1005081088502023E-5	1.1005081088502023E-5	3.642908049960972E-5
138	5.594025238589754E-5	4.8058524162871323E-5	1.039387900596803E-5	1.039387900596803E-5	0.2759329629918764	3.440664263089638E-5
141	0.2791882041632015	0.2988020442449954	5.847424859791967E-6	5.847424859791967E-6	0.2180533025341083	1.9359827306327627E-5
140	0.30219904502028166	0.30490876859702004	1.3362302127736558E-5	1.3362302127736558E-5	0.2801540238833383	4.422798592341089E-5
143	0.6409488750473623	0.6560512734517373	2.876609931233432E-5	2.876609931233432E-5	2.876609931233432E-5	9.515879504222715E-5
142	0.31673670510095236	0.266532322733899	3.116090053963085E-5	3.116090053963085E-5	3.116090053963085E-5	1.030716703131702E-4
129	1.0065587237018548E-4	8.647213327007203E-5	1.870400395873822E-5	1.870400395873822E-5	0.28010493200730185	6.189636995840628E-5
128	6.712223945511631E-5	0.7171896347912446	1.2471831336905298E-5	1.2471831336905298E-5	1.2471831336905298E-5	4.128206068638552E-5
131	0.3384265176991041	0.8537015846852347	1.4964999829368049E-5	1.4964999829368049E-5	0.11910841883711043	4.952983718746809E-5
130	0.2388572831946849	1.2018942936343973E-5	0.033791176829773915	2.5991341422670066E-6	0.20658893836921888	8.606248452074634E-6
133	0.10869500295297278	0.21331026736923503	6.342854510378033E-6	6.342854510378033E-6	0.18922382834250095	0.13268542125500526
132	0.27375703988990535	9.607087493422745E-5	2.0780833375689585E-5	2.0780833375689585E-5	2.0780833375689585E-5	6.8763824750931E-5
135	0.779546937659468	0.07745743196756714	1.2471831336905298E-5	1.2471831336905298E-5	0.10083085062518059	0.2093476827559152
134	0.18403780214170504	0.6837087796837248	5.4237494129059165E-6	5.4237494129059165E-6	0.09726755595383678	1.795746577822135E-5
152	0.5287999679259697	0.7398793854987886	1.870400395873822E-5	1.870400395873822E-5	1.870400395873822E-5	6.189636995840628E-5
153	0.5734254461335978	3.264860214450338E-5	7.06077085204023E-6	7.06077085204023E-6	0.0900870407185611	0.1448260115009133
154	0.21061583910450213	0.2898524919837752	1.870400395873822E-5	1.870400395873822E-5	1.870400395873822E-5	6.189636995840628E-5
155	4.475631133958038E-5	0.8346854847304817	8.315664661767383E-6	8.315664661767383E-6	8.315664661767383E-6	2.752929573619931E-5
156	4.028212858025754E-5	0.3513424200208552	7.484296577061488E-6	7.484296577061488E-6	0.11030665189383937	2.477776593125147E-5
157	0.7169478733642585	5.4062628423848466E-5	1.169264132207829E-5	1.169264132207829E-5	1.169264132207829E-5	3.870398468576069E-5
158	0.09115692042558132	0.09782491347658337	5.9402149854948095E-6	5.9402149854948095E-6	0.1384876756574382	1.9666974311826074E-5
159	1.341712471063174E-4	1.152629544132901E-4	2.4933706169802145E-5	0.1157437262371505	2.4933706169802145E-5	8.249281517238868E-5
144	0.5556439603865808	0.5687230184207822	2.4933706169802145E-5	2.4933706169802145E-5	2.4933706169802145E-5	8.249281517238868E-5
145	0.1860612381984117	6.406783267080532E-5	1.3856983168998692E-5	1.3856983168998692E-5	0.22249261638222428	4.586455789659583E-5
146	0.8482495928659557	0.34100995643708654	1.2069678408082636E-5	1.2069678408082636E-5	1.2069678408082636E-5	3.9951502755298714E-5
147	0.26109144810640134	4.9430907926071056E-5	1.0690740033377982E-5	1.0690740033377982E-5	0.25543358056493765	3.538891852426177E-5
148	0.19833124825005213	0.6624433850503167	0.030349146019212278	5.057342579301579E-6	0.11785628680209315	1.6744487149685277E-5
149	0.22298733289862938	0.18050456754149916	6.035999548493431E-6	6.035999548493431E-6	6.035999548493431E-6	1.998403756263203E-5
150	9.586652648177943E-5	8.235783741350521E-5	1.7813870042102735E-5	1.7813870042102735E-5	0.27587251523641576	5.8952488820753597E-5
151	0.5888588382941117	0.08428817850919755	9.847019894827011E-6	0.08917495944168034	0.17241346007523906	3.2597014791292214E-5
171	0.2678061882989127	0.27114746294288256	5.9402149854948095E-6	5.9402149854948095E-6	0.2522594344231615	1.9666974311826074E-5
170	0.4049710234213464	3.531288856105885E-5	7.637012879146044E-6	7.637012879146044E-6	0.27738923187511055	2.5283229149998478E-5
169	0.7525710667774775	0.14039914386026012	4.56400903482255E-6	4.56400903482255E-6	4.56400903482255E-6	1.5111448965113111E-5
168	1.341712471063174E-4	1.0	2.4933706169802145E-5	2.4933706169802145E-5	2.4933706169802145E-5	8.249281517238868E-5
175	1.0065587237018548E-4	0.021243890845977442	1.870400395873822E-5	1.870400395873822E-5	0.2665499421060614	6.189636995840628E-5
174	1.1182964057767936E-4	9.607087493422745E-5	2.0780833375689585E-5	2.0780833375689585E-5	0.27773161077020897	6.8763824750931E-5
173	0.47885986123162994	0.4893458397759344	5.19781911893965E-6	5.19781911893965E-6	0.17964711957565804	1.720955036170579E-5
172	0.9728991895903895	0.9816230997941537	1.4964999829368049E-5	1.4964999829368049E-5	0.2871016598413967	4.952983718746809E-5
163	0.26439527442787014	0.2667659915885509	1.5588217091551337E-5	1.5588217091551337E-5	0.2844547132513733	5.1591400760638116E-5
162	7.744223900527896E-5	6.653031551247657E-5	1.4389693563917161E-5	1.4389693563917161E-5	0.27854715916870554	4.762680089325026E-5
161	5.16389389941716E-5	0.9605198044073453	9.594588830793132E-6	9.594588830793132E-6	9.594588830793132E-6	3.1761738541709034E-5
160	1.6766836605201134E-4	0.9647181895639938	3.116090053963085E-5	3.116090053963085E-5	0.12863396346157407	1.030716703131702E-4
167	0.11160119279218962	0.5654668527188155	1.1338436820454237E-5	1.1338436820454237E-5	1.1338436820454237E-5	3.7532077986692414E-5
166	3.5336691900060326E-5	0.03668310285821485	6.565378631920355E-6	6.565378631920355E-6	0.2581790016186817	2.1736309904125382E-5
165	0.25644604928032694	0.32696539922166945	1.1338436820454237E-5	1.1338436820454237E-5	1.1338436820454237E-5	3.7532077986692414E-5
164	0.0960459340078974	0.20582498034835123	0.05477653237445124	5.670266463280641E-6	5.670266463280641E-6	0.09885128720885593
186	1.4374367161000372E-4	1.0	2.671315053281678E-5	2.671315053281678E-5	2.671315053281678E-5	8.83742690391001E-5
187	1.4374367161000372E-4	1.0	2.671315053281678E-5	2.671315053281678E-5	2.671315053281678E-5	8.83742690391001E-5
184	0.661110747244903	0.48857424717709097	1.5588217091551337E-5	1.5588217091551337E-5	0.1413097290559613	5.1591400760638116E-5
185	0.5579693420819858	0.5687230184207822	2.4933706169802145E-5	0.10313646151429119	2.4933706169802145E-5	8.249281517238868E-5
190	0.7774564681894277	0.5123268486743923	2.200237664003502E-5	2.200237664003502E-5	2.200237664003502E-5	7.280266606460119E-5
191	5.299735785180681E-5	0.1400405020479186	9.847019894827011E-6	9.847019894827011E-6	0.27663979583639764	3.2597014791292214E-5
188	0.2799299613014074	2.472162094320605E-5	5.346305778343919E-6	5.346305778343919E-6	0.1547815499541525	1.7701006883955935E-5
189	0.40738168216882015	0.4131210305601273	1.2069678408082636E-5	1.2069678408082636E-5	0.2852195470546872	3.9951502755298714E-5
178	0.34156636687171194	0.3450977576159388	5.503513736372139E-6	5.503513736372139E-6	0.25994883856817175	1.8221477116632146E-5
179	1.6766836605201134E-4	1.4403722540804042E-4	3.116090053963085E-5	0.13145596933728	3.116090053963085E-5	1.030716703131702E-4
176	9.15122342809928E-5	0.7472763848790863	1.7004585932453193E-5	1.7004585932453193E-5	1.7004585932453193E-5	5.627608101446774E-5
177	7.191387431889707E-5	0.34505217952751455	1.3362302127736558E-5	1.3362302127736558E-5	1.3362302127736558E-5	4.422798592341089E-5
182	0.5911606496754959	0.2751348785833481	7.484296577061488E-6	7.484296577061488E-6	7.484296577061488E-6	2.477776593125147E-5
183	0.30567252046363785	0.7601218095179262	8.90946157751968E-6	8.90946157751968E-6	8.90946157751968E-6	2.9494493366966593E-5
180	0.9996629539203995	0.1642294923608096	9.594588830793132E-6	9.594588830793132E-6	0.19770024084921087	3.1761738541709034E-5
181	0.38161841178298955	0.3828494242258112	6.134928270652615E-6	6.134928270652615E-6	0.22744071568656085	2.031151287101087E-5
205	0.1779512601845079	0.1779621688638087	0.033271230223828684	4.1583750726435494E-6	0.229808244582824	1.3768567523048695E-5
204	1.1840156971740018E-4	0.29405063522502856	2.200237664003502E-5	2.200237664003502E-5	2.200237664003502E-5	7.280266606460119E-5
207	6.292925494293546E-5	0.6234360566970203	1.169264132207829E-5	1.169264132207829E-5	1.169264132207829E-5	0.27368155025270346
206	0.14428421484984885	0.14557794850140396	8.50461365513082E-6	8.50461365513082E-6	0.21383407632280782	0.1885668332960111
201	0.42313195455850944	0.4269261111038792	1.0690740033377982E-5	1.0690740033377982E-5	0.23473013284059663	0.062389439449768685
200	0.7384383130289932	6.406783267080532E-5	0.20011066241348374	1.3856983168998692E-5	1.3856983168998692E-5	4.586455789659583E-5
203	0.8752907904572578	0.8824525713822217	1.2901720241180076E-5	0.10881068896616192	0.15556089138277962	4.270433519366516E-5
202	0.4128550455059205	5.580563796540198E-5	1.2069678408082636E-5	1.2069678408082636E-5	0.23400937896076987	3.9951502755298714E-5
197	0.028775722580972975	1.0	1.3362302127736558E-5	1.3362302127736558E-5	1.3362302127736558E-5	4.422798592341089E-5
196	0.9994736162348431	1.0	8.50461365513082E-6	0.08689749786029538	0.21934530114841377	2.8154612877199222E-5
199	0.2644292483759241	0.266800288409204	1.3362302127736558E-5	0.03965473777178202	0.25038748842147907	4.422798592341089E-5
198	0.20860726019357578	4.676032695870573E-5	1.0113075648556676E-5	1.0113075648556676E-5	0.24978984047408004	3.3477409957024563E-5
193	0.23504601339217768	0.24305685439584435	1.3856983168998692E-5	1.3856983168998692E-5	0.12912359936401702	4.586455789659583E-5
192	0.6101326083921671	0.6156035783058887	1.4389693563917161E-5	1.4389693563917161E-5	0.2843327362640923	4.762680089325026E-5
195	0.11957869328602035	0.11629890885174336	3.7055412925898888E-6	3.7055412925898888E-6	0.2459797508530329	1.2269381264324684E-5
194	0.26320707607575144	0.26664915697003616	2.3376523915066442E-5	0.24545362488285738	2.3376523915066442E-5	7.734540492410793E-5
220	0.9178482332961515	7.207044958574237E-5	1.5588217091551337E-5	1.5588217091551337E-5	0.17427575573846832	5.1591400760638116E-5
221	0.277545590582573	0.27875162725924935	6.134928270652615E-6	6.134928270652615E-6	0.24625552673963189	2.031151287101087E-5
222	1.0	8.647213327007203E-5	1.870400395873822E-5	1.870400395873822E-5	0.07483473106805152	6.189636995840628E-5
223	8.753624491467799E-5	7.520168919368108E-5	1.626563366878817E-5	1.626563366878817E-5	0.275885212025234	5.383205043597019E-5
216	0.23366845112128673	0.3035536116842827	0.11499770711308521	4.620379316915527E-6	4.620379316915527E-6	1.5297989637059E-5
217	0.12693597990574276	0.29635779903144227	1.4964999829368049E-5	1.4964999829368049E-5	1.4964999829368049E-5	4.952983718746809E-5
218	0.024220686167821356	0.60742593815859	0.059267674152428174	3.564391004560267E-6	0.09598746953566029	1.1802086897109991E-5
219	5.442911421572594E-5	0.032894036411252776	1.0113075648556676E-5	1.0113075648556676E-5	0.25624681394799503	3.3477409957024563E-5
212	0.49220642570270273	0.019736658312655916	8.702321377584402E-6	8.702321377584402E-6	0.27114677120043773	2.880893503572358E-5
213	6.712223945511631E-5	0.21689603165213717	1.2471831336905298E-5	1.2471831336905298E-5	0.09079654587109476	4.128206068638552E-5
