nodeid	1	2	3
1	1.0	1.0	2.0645577872745098E-5
2	1.0	1.0	1.0
3	0.19842852700400893	1.0	0.6015459674878412
4	1.0	1.0	0.7496981987856193
5	1.0	0.5563440392253797	0.4200885136689744
6	0.0012491508855150633	1.0	1.0
7	0.001228355709370288	1.0	1.0
8	0.0012630316221687106	1.0	7.345061358572777E-5
9	0.07935731138802234	1.0	1.6536710845725124E-4
10	0.11905641393707224	1.0	0.7247180144504299
11	1.0	1.0	3.3085861975553054E-5
12	1.0	0.0020329067594180225	1.0
13	0.0012610447860840442	1.0	9.44932218021795E-5
14	1.0	1.0	1.8898114986644286E-4
15	1.0	1.0	1.0
17	1.0	1.0	0.8822411267505166
16	0.0012387506108404228	1.0	3.306111375079533E-4
19	0.18520044337506292	1.0	0.16141533310289113
18	1.0	1.0	0.08015336910557554
21	0.4539943808956881	1.0	3.48063267982818E-5
20	0.10582678082589674	1.0	4.0100064714370295E-5
23	0.3174843536373328	1.0	1.0
22	0.0012645311211005343	1.0	0.4027899305593407
25	0.0012642937004363288	1.0	6.0083925347604335E-5
24	0.31748892710907484	1.0	1.0
27	0.29480968637494315	1.0	4.274693367241453E-5
26	0.15874227678526187	1.0	3.7850226100032684E-5
29	0.001267305194124408	1.0	0.47868625106230134
28	0.15874227678526187	1.0	3.7850226100032684E-5
31	0.05952889298929742	1.0	8.483215010531799E-6
30	0.4762341779005516	1.0	1.0
34	0.0012610447860840442	1.0	1.0
35	0.1027172210516062	1.0	0.310972693273744
32	0.0952457734350336	1.0	1.8395739258407496E-5
33	0.07937121336757752	1.0	1.813105236260307E-5
38	0.370405085347135	1.0	1.0
39	0.08850069119709618	1.0	0.3693361537986196
36	0.001266392998940882	1.0	3.7850226100032684E-5
37	0.17308581425258718	1.0	6.0083925347604335E-5
42	1.0	0.9228529801483855	0.4499677228675215
43	0.0012621569144584802	1.0	8.271465493888262E-5
40	0.45490243105467226	1.0	0.3873480970581108
41	0.3174895144128232	1.0	0.07479057914582984
46	0.001262619259962459	1.0	0.5449254701718376
47	0.0012655057954062202	1.0	0.9925163047150354
44	0.0012660681075056537	1.0	1.0
45	1.0	1.0	6.2995481201453E-5
51	0.0012653433496886053	1.0	1.0
50	0.0012674676398420222	1.0	0.0582613840559275
49	0.001264018792298828	1.0	6.2995481201453E-5
48	0.001263718892512463	1.0	1.0
55	0.001267305194124408	1.0	0.03984359364592607
54	0.1587433014428653	1.0	2.6998063372051287E-5
53	1.0	1.0	0.07938756561539648
52	0.19843032640272706	1.0	0.08015516163383776
59	0.17858610790871576	1.0	3.14977406007265E-5
58	0.4317933263544842	1.0	0.26751000313775497
57	0.0012669927985136113	1.0	0.18908040745236954
56	0.0012656557452994021	1.0	1.0
63	1.0	1.0	8.82730797507755E-5
62	1.0	1.0	0.05052370593838683
61	0.07936913906072184	1.0	4.0100064714370295E-5
60	0.0012647560459403077	1.0	0.08015347134219539
68	0.001266492965536337	1.0	1.0
69	0.47623464024605555	1.0	1.0
70	0.06152721214518239	1.0	1.0
71	1.0	1.0	0.05840105298672364
64	0.0012616320898323418	1.0	0.5293565869606214
65	1.0	1.0	0.03933569923010492
66	0.0012647560459403077	1.0	1.0
67	1.0	0.42547504476813286	0.12976685331500404
76	0.07937068854295139	1.0	0.37812772904276354
77	0.0012630316221687106	1.0	7.345061358572777E-5
78	1.0	1.0	0.08015153151328028
79	1.0	1.0	8.82730797507755E-5
72	0.27418161189481344	1.0	0.05864385812659926
73	0.059930333455447876	1.0	1.4293092373438912E-5
74	0.1685948487408827	1.0	3.679147851681499E-5
75	0.0012669927985136113	1.0	3.14977406007265E-5
85	0.0012621569144584802	1.0	1.0
84	0.0012616320898323418	1.0	8.82730797507755E-5
87	0.05291223454918842	1.0	1.0
86	0.7014365929283839	1.0	5.5187217775222475E-5
81	0.0012674676398420222	1.0	2.646868958044244E-5
