nodeid	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
33	1.6410045454545456E-5	1.6410045454545456E-5	0.26257822314049584	0.5187389128219184	1.6410045454545456E-5	1.6410045454545456E-5	0.0	1.6410045454545456E-5	0.5744180697179138	1.6410045454545456E-5	1.6410045454545456E-5	1.3693899999999998E-5	1.3693899999999998E-5	1.3693899999999998E-5	1.7390798427270165E-5
38	1.814992561983471E-5	1.814992561983471E-5	0.39931561983471076	1.6036332748977376E-5	1.814992561983471E-5	1.814992561983471E-5	0.0	1.814992561983471E-5	1.7618268148334273E-5	0.7986132644628099	1.814992561983471E-5	1.5145799999999998E-5	1.5145799999999998E-5	1.5145799999999998E-5	1.9234663231055327E-5
39	2.785234297520661E-5	2.785234297520661E-5	2.785234297520661E-5	2.460888541057962E-5	2.785234297520661E-5	2.785234297520661E-5	0.0	2.785234297520661E-5	1.0	0.2506990082644628	2.785234297520661E-5	2.3242299999999996E-5	2.3242299999999996E-5	2.3242299999999996E-5	2.9516949465538777E-5
36	3.421400826446281E-5	3.421400826446281E-5	0.4106028512396694	0.8762776279662186	3.421400826446281E-5	3.421400826446281E-5	0.0	3.421400826446281E-5	0.888569812058038	3.421400826446281E-5	3.421400826446281E-5	2.8550999999999998E-5	2.8550999999999998E-5	2.8550999999999998E-5	3.625882224180042E-5
37	5.4408553719008265E-5	0.9987880257663926	5.4408553719008265E-5	4.807257561844339E-5	5.4408553719008265E-5	5.4408553719008265E-5	0.0	5.4408553719008265E-5	5.2814788835110825E-5	5.4408553719008265E-5	5.4408553719008265E-5	4.5403E-5	4.5403E-5	4.5403E-5	5.766030283508331E-5
42	2.395495867768595E-5	0.1677086776859504	0.6468078512396693	0.3201108692791342	2.395495867768595E-5	0.09584380165289255	0.0	2.395495867768595E-5	0.3246021481642574	2.395495867768595E-5	2.395495867768595E-5	1.999E-5	1.999E-5	1.999E-5	2.538663642652062E-5
43	7.477985537190082E-5	7.477985537190082E-5	0.7478728512396693	0.4996761330536179	7.477985537190082E-5	7.477985537190082E-5	0.0	7.477985537190082E-5	0.5066895581314316	7.477985537190082E-5	7.477985537190082E-5	6.24025E-5	6.24025E-5	6.24025E-5	7.924910353206366E-5
40	1.4609528925619834E-5	0.07306226446280992	1.4609528925619834E-5	0.24403091779431926	1.4609528925619834E-5	1.4609528925619834E-5	0.0	1.4609528925619834E-5	0.7926921925450752	0.1899380165289256	1.4609528925619834E-5	1.21914E-5	1.21914E-5	1.21914E-5	1.5482673303165756E-5
41	2.1014454545454548E-5	0.10509312396694215	2.1014454545454548E-5	1.0	2.1014454545454548E-5	2.1014454545454548E-5	0.0	2.1014454545454548E-5	1.0	2.1014454545454548E-5	2.1014454545454548E-5	1.75362E-5	1.75362E-5	1.75362E-5	2.2270391881078086E-5
46	7.038755371900827E-5	7.038755371900827E-5	7.038755371900827E-5	6.219079110665886E-5	7.038755371900827E-5	7.038755371900827E-5	0.0	7.038755371900827E-5	6.832572329506137E-5	0.3520072727272727	0.8447208677685951	5.873719999999999E-5	5.873719999999999E-5	5.873719999999999E-5	7.459429420269268E-5
47	4.275990082644629E-5	0.3421221074380165	4.275990082644629E-5	3.778043019728972E-5	4.275990082644629E-5	4.275990082644629E-5	0.0	4.275990082644629E-5	4.150735460498113E-5	4.275990082644629E-5	4.275990082644629E-5	3.568240000000001E-5	3.568240000000001E-5	0.39254199999999995	0.40788539840905647
44	3.7419107438016534E-5	3.7419107438016534E-5	0.4490661983471075	0.8333648994483179	3.7419107438016534E-5	3.7419107438016534E-5	0.0	3.7419107438016534E-5	0.8450554778890345	3.7419107438016534E-5	3.7419107438016534E-5	3.12256E-5	3.12256E-5	3.12256E-5	3.965547545772697E-5
45	5.6996264462809915E-5	0.8552964100529264	5.6996264462809915E-5	5.0358942593983906E-5	5.6996264462809915E-5	0.3420346280991736	0.0	5.6996264462809915E-5	5.532669895141454E-5	5.6996264462809915E-5	5.6996264462809915E-5	4.75624E-5	4.75624E-5	4.75624E-5	6.040266915321381E-5
51	4.434219834710744E-5	0.39912388429752066	4.434219834710744E-5	0.8887986150721588	4.434219834710744E-5	4.434219834710744E-5	0.0	4.434219834710744E-5	0.9012671559624995	4.434219834710744E-5	4.434219834710744E-5	3.7002800000000004E-5	3.7002800000000004E-5	3.7002800000000004E-5	4.699232768200386E-5
50	2.395495867768595E-5	0.07188884297520662	2.395495867768595E-5	1.0	0.09584380165289255	2.395495867768595E-5	0.0	2.395495867768595E-5	1.0	2.395495867768595E-5	2.395495867768595E-5	1.999E-5	1.999E-5	1.999E-5	2.538663642652062E-5
49	5.6996264462809915E-5	5.6996264462809915E-5	0.39903161157024786	0.6981769699960543	5.6996264462809915E-5	5.6996264462809915E-5	0.0	0.17104607438016528	0.7079730146824095	5.6996264462809915E-5	5.6996264462809915E-5	4.75624E-5	4.75624E-5	4.75624E-5	6.040266915321381E-5
48	5.9842578512396706E-5	5.9842578512396706E-5	0.9989166929049116	5.287379803545094E-5	5.9842578512396706E-5	5.9842578512396706E-5	0.0	5.9842578512396706E-5	5.8089637225122365E-5	5.9842578512396706E-5	5.9842578512396706E-5	4.99376E-5	4.99376E-5	4.99376E-5	6.34190943078047E-5
55	2.5483210743801655E-5	0.22937442148760329	2.5483210743801655E-5	1.0	2.5483210743801655E-5	2.5483210743801655E-5	0.0	2.5483210743801655E-5	1.0	2.5483210743801655E-5	2.5483210743801655E-5	2.12653E-5	2.12653E-5	0.0425518	2.7006225092590744E-5
54	2.4443644628099174E-5	0.4155652066115702	2.4443644628099174E-5	0.6804765825698483	0.17112995867768593	2.4443644628099174E-5	0.0	2.4443644628099174E-5	0.6900219650566165	2.4443644628099174E-5	2.4443644628099174E-5	2.03978E-5	2.03978E-5	2.03978E-5	2.590452888948886E-5
53	3.9286611570247924E-6	3.9286611570247924E-6	3.9286611570247924E-6	1.0	3.9286611570247924E-6	3.9286611570247924E-6	0.0	3.9286611570247924E-6	1.0	3.9286611570247924E-6	3.9286611570247924E-6	3.2783999999999994E-6	3.2783999999999994E-6	3.2783999999999994E-6	4.16345917262157E-6
52	1.9013814049586775E-5	1.9013814049586775E-5	1.9013814049586775E-5	1.0	1.9013814049586775E-5	1.9013814049586775E-5	0.0	1.9013814049586775E-5	1.0	1.9013814049586775E-5	1.9013814049586775E-5	1.5866699999999995E-5	1.5866699999999995E-5	1.5866699999999995E-5	2.0150182300584027E-5
59	2.851514876033058E-5	0.1996338429752066	2.851514876033058E-5	0.4705930409999695	2.851514876033058E-5	0.22814971074380164	0.0	2.851514876033058E-5	0.35419758649248	2.851514876033058E-5	2.851514876033058E-5	2.37954E-5	2.37954E-5	2.37954E-5	3.0219368105234052E-5
58	2.218128512396694E-5	2.218128512396694E-5	2.218128512396694E-5	1.0	2.218128512396694E-5	2.218128512396694E-5	0.0	2.218128512396694E-5	0.9466452652915633	2.218128512396694E-5	2.218128512396694E-5	1.85099E-5	1.85099E-5	1.85099E-5	2.3506958558842125E-5
57	2.851514876033058E-5	0.5418158677685949	0.37072425619834715	0.2857925501433956	2.851514876033058E-5	2.851514876033058E-5	0.0	2.851514876033058E-5	0.28883823682099224	2.851514876033058E-5	2.851514876033058E-5	2.37954E-5	2.37954E-5	2.37954E-5	3.0219368105234052E-5
56	4.128677272727272E-5	4.128677272727272E-5	4.128677272727272E-5	1.0	4.128677272727272E-5	4.128677272727272E-5	0.0	4.128677272727272E-5	1.0	4.128677272727272E-5	4.128677272727272E-5	3.44531E-5	3.44531E-5	3.44531E-5	4.375429331998786E-5
63	7.975683057851241E-5	0.8580547111603911	7.975683057851241E-5	0.3553134111041578	7.975683057851241E-5	7.975683057851241E-5	0.0	7.975683057851241E-5	0.3603025433519744	7.975683057851241E-5	7.975683057851241E-5	6.65557E-5	6.65557E-5	6.65557E-5	8.452352966546164E-5
62	4.128677272727272E-5	0.2890485123966942	4.128677272727272E-5	1.0	4.128677272727272E-5	4.128677272727272E-5	0.0	4.128677272727272E-5	0.9999999999999998	4.128677272727272E-5	4.128677272727272E-5	3.44531E-5	3.44531E-5	3.44531E-5	4.375429331998786E-5
61	3.6286070247933885E-5	3.6286070247933885E-5	0.362896652892562	0.8485356078106605	3.6286070247933885E-5	3.6286070247933885E-5	0.0	0.07260845041322314	0.8604388686963967	3.6286070247933885E-5	3.6286070247933885E-5	3.02801E-5	3.02801E-5	3.02801E-5	3.8454721843856276E-5
60	4.987916115702479E-5	4.987916115702479E-5	4.987916115702479E-5	1.0	4.987916115702479E-5	4.987916115702479E-5	0.0	4.987916115702479E-5	1.0	4.987916115702479E-5	4.987916115702479E-5	4.1623300000000005E-5	4.1623300000000005E-5	4.1623300000000005E-5	5.2860209303251406E-5
68	3.3264318181818185E-5	3.3264318181818185E-5	3.3264318181818185E-5	2.9390625956535044E-5	3.3264318181818185E-5	3.3264318181818185E-5	0.0	3.3264318181818185E-5	3.228992172057846E-5	3.3264318181818185E-5	0.6653199173553719	0.44416399999999995	2.77585E-5	2.77585E-5	3.525237354905315E-5
69	2.785234297520661E-5	2.785234297520661E-5	2.785234297520661E-5	1.0	2.785234297520661E-5	2.785234297520661E-5	0.0	2.785234297520661E-5	1.0	2.785234297520661E-5	0.2785509917355372	2.3242299999999996E-5	2.3242299999999996E-5	2.3242299999999996E-5	2.9516949465538777E-5
70	4.275990082644629E-5	0.4704015702479339	4.275990082644629E-5	3.778043019728972E-5	4.275990082644629E-5	4.275990082644629E-5	0.0	4.275990082644629E-5	4.150735460498113E-5	0.1710820247933884	4.275990082644629E-5	3.568240000000001E-5	3.568240000000001E-5	3.568240000000001E-5	0.538028583260363
71	3.991166942148761E-5	3.991166942148761E-5	0.15968694214876034	1.0	3.991166942148761E-5	3.991166942148761E-5	0.0	3.991166942148761E-5	1.0	3.991166942148761E-5	3.991166942148761E-5	3.33056E-5	3.33056E-5	3.33056E-5	4.229700641156204E-5
64	7.975683057851241E-5	7.975683057851241E-5	7.975683057851241E-5	0.7993630250752712	7.975683057851241E-5	7.975683057851241E-5	0.0	7.975683057851241E-5	0.8105798769878572	7.975683057851241E-5	7.975683057851241E-5	6.65557E-5	6.65557E-5	0.39940100000000006	8.452352966546164E-5
65	3.521966115702479E-5	3.521966115702479E-5	0.281792520661157	1.0	3.521966115702479E-5	3.521966115702479E-5	0.0	3.521966115702479E-5	0.9999755812843356	3.521966115702479E-5	3.521966115702479E-5	2.9390199999999995E-5	2.9390199999999995E-5	2.9390199999999995E-5	3.732457838432848E-5
66	4.987916115702479E-5	4.987916115702479E-5	4.987916115702479E-5	4.407063931324262E-5	4.987916115702479E-5	0.6983583471074379	0.0	4.987916115702479E-5	4.841807369822409E-5	4.987916115702479E-5	0.4988419421487604	4.1623300000000005E-5	4.1623300000000005E-5	4.1623300000000005E-5	5.2860209303251406E-5
67	2.3485446280991738E-5	0.023508933884297523	0.25836363636363635	0.49689656258796894	2.3485446280991738E-5	2.3485446280991738E-5	0.0	2.3485446280991738E-5	0.5038671956311744	2.3485446280991738E-5	2.3485446280991738E-5	1.95982E-5	1.95982E-5	1.95982E-5	0.49780666798465517
76	2.1389537190082644E-5	2.1389537190082644E-5	0.44920161157024796	0.8336297492272191	2.1389537190082644E-5	2.1389537190082644E-5	0.0	2.1389537190082644E-5	0.8453228518120133	2.1389537190082644E-5	2.1389537190082644E-5	1.78492E-5	1.78492E-5	1.78492E-5	2.266789149095806E-5
77	6.64825E-5	0.7313740082644627	6.64825E-5	5.874048821548822E-5	6.64825E-5	6.64825E-5	0.0	6.64825E-5	6.453505852892309E-5	6.64825E-5	6.64825E-5	5.547850000000001E-5	5.547850000000001E-5	5.547850000000001E-5	7.04558533761243E-5
78	8.544358677685951E-5	8.544358677685951E-5	8.544358677685951E-5	1.0	8.544358677685951E-5	8.544358677685951E-5	0.0	8.544358677685951E-5	1.0	8.544358677685951E-5	8.544358677685951E-5	7.130120000000001E-5	7.130120000000001E-5	7.130120000000001E-5	9.055015713730025E-5
79	7.975683057851241E-5	7.975683057851241E-5	0.9988450476898629	7.046899810779977E-5	7.975683057851241E-5	7.975683057851241E-5	0.0	7.975683057851241E-5	7.742055021194602E-5	7.975683057851241E-5	7.975683057851241E-5	6.65557E-5	6.65557E-5	6.65557E-5	8.452352966546164E-5
72	1.7361053719008265E-5	1.7361053719008265E-5	0.1736285123966942	1.0	1.7361053719008265E-5	1.7361053719008265E-5	0.0	1.7361053719008265E-5	1.0	1.7361053719008265E-5	1.7361053719008265E-5	1.4487499999999998E-5	1.4487499999999998E-5	1.4487499999999998E-5	0.05521434676917644
73	1.288199173553719E-5	1.288199173553719E-5	0.2447707851239669	0.1721419884210259	1.288199173553719E-5	1.288199173553719E-5	0.0	1.288199173553719E-5	0.17455720687462797	1.288199173553719E-5	0.7085227272727274	1.0749800000000002E-5	1.0749800000000002E-5	1.0749800000000002E-5	1.3651889157469305E-5
74	3.3264318181818185E-5	0.3992053719008264	0.23288318181818182	0.6297125835421222	3.3264318181818185E-5	3.3264318181818185E-5	0.0	3.3264318181818185E-5	0.6385466646586822	3.3264318181818185E-5	3.3264318181818185E-5	2.77585E-5	2.77585E-5	2.77585E-5	3.525237354905315E-5
75	2.851514876033058E-5	0.7414209504132232	2.851514876033058E-5	0.2857925501433956	2.851514876033058E-5	2.851514876033058E-5	0.0	2.851514876033058E-5	0.2898028591214841	2.851514876033058E-5	2.851514876033058E-5	2.37954E-5	0.16659099999999996	2.37954E-5	3.0219368105234052E-5
85	7.477985537190082E-5	7.477985537190082E-5	7.477985537190082E-5	6.607160099618778E-5	7.477985537190082E-5	7.477985537190082E-5	0.0	7.477985537190082E-5	7.258936326416763E-5	7.477985537190082E-5	7.477985537190082E-5	6.24025E-5	6.24025E-5	0.9985020000000001	7.924910353206366E-5
84	7.975683057851241E-5	0.47862103305785125	7.975683057851241E-5	7.046899810779977E-5	7.975683057851241E-5	7.975683057851241E-5	0.0	7.975683057851241E-5	7.742055021194602E-5	7.975683057851241E-5	0.5583782231404959	6.65557E-5	6.65557E-5	6.65557E-5	8.452352966546164E-5
87	2.9210190082644628E-5	0.2045003305785124	2.9210190082644628E-5	2.5808608676294626E-5	2.9210190082644628E-5	2.9210190082644628E-5	0.0	2.9210190082644628E-5	2.8354549341923672E-5	2.9210190082644628E-5	0.46739132231404956	0.0487751	0.39003	2.43754E-5	3.095594885197653E-5
86	0.19956673553719007	0.5985995454545454	4.987916115702479E-5	4.407063931324262E-5	0.3990831404958678	4.987916115702479E-5	0.0	4.987916115702479E-5	4.841807369822409E-5	4.987916115702479E-5	4.987916115702479E-5	4.1623300000000005E-5	4.1623300000000005E-5	4.1623300000000005E-5	5.2860209303251406E-5
81	2.395495867768595E-5	2.395495867768595E-5	0.45516818181818186	0.7202222851456828	0.09584380165289255	2.395495867768595E-5	0.0	2.395495867768595E-5	0.7303250580042095	2.395495867768595E-5	2.395495867768595E-5	1.999E-5	1.999E-5	1.999E-5	2.538663642652062E-5
80	2.218128512396694E-5	2.218128512396694E-5	2.218128512396694E-5	1.9598232879761818E-5	2.218128512396694E-5	2.218128512396694E-5	0.0	2.218128512396694E-5	2.1531538881990576E-5	2.218128512396694E-5	0.9988779710818185	1.85099E-5	1.85099E-5	1.85099E-5	2.3506958558842125E-5
83	3.7419107438016534E-5	0.8852693866443866	0.29939024793388425	3.306158221331776E-5	3.7419107438016534E-5	3.7419107438016534E-5	0.0	3.7419107438016534E-5	3.63230066350161E-5	3.7419107438016534E-5	3.7419107438016534E-5	3.12256E-5	3.12256E-5	3.12256E-5	3.965547545772697E-5
82	4.434219834710744E-5	0.4434663223140495	4.434219834710744E-5	3.917846620474718E-5	4.434219834710744E-5	4.434219834710744E-5	0.0	4.434219834710744E-5	4.304330260792985E-5	4.434219834710744E-5	4.434219834710744E-5	3.7002800000000004E-5	3.7002800000000004E-5	0.44407	0.23500862718179424
93	6.476706611570248E-6	6.476706611570248E-6	6.476706611570248E-6	5.722481982358014E-6	0.07772659090909093	6.476706611570248E-6	0.0	6.476706611570248E-6	0.21208321436273445	0.7383471900826446	6.476706611570248E-6	0.0594568	0.10269400000000001	5.4047E-6	6.863789589515558E-6
92	3.7419107438016534E-5	3.7419107438016534E-5	0.4116478099173554	0.8750319965697084	3.7419107438016534E-5	3.7419107438016534E-5	0.0	3.7419107438016534E-5	0.8873069489000808	3.7419107438016534E-5	3.7419107438016534E-5	3.12256E-5	3.12256E-5	3.12256E-5	3.965547545772697E-5
95	6.298799999999999E-5	6.298799999999999E-5	6.298799999999999E-5	5.565292929292929E-5	6.298799999999999E-5	0.4409785537190083	0.0	6.298799999999999E-5	0.7112777936095308	6.298799999999999E-5	6.298799999999999E-5	5.256239999999999E-5	0.10517700000000002	5.256239999999999E-5	6.675250317685581E-5
94	4.128677272727272E-5	0.8512525495030883	4.128677272727272E-5	3.6478850627486985E-5	4.128677272727272E-5	0.3303351652892562	0.0	4.128677272727272E-5	4.007737817357787E-5	4.128677272727272E-5	4.128677272727272E-5	3.44531E-5	3.44531E-5	3.44531E-5	4.375429331998786E-5
