nodeid	1	2	3
1	1.0	1.0	7.538365723406508E-5
2	1.0	1.0	1.0
3	0.20391176372541453	1.0	0.6141664139130221
4	1.0	1.0	0.781457259321872
5	1.0	0.7298638008959963	0.8191010826965811
6	0.0012658581319977128	1.0	1.0
7	0.001226811351954374	1.0	1.0
8	0.0012919913449764685	1.0	2.6788186051901524E-4
9	0.08153812951243111	1.0	6.021502778139138E-4
10	0.1223457315940274	1.0	0.7399290324630701
11	1.0	1.0	1.2059706341294055E-4
12	1.0	1.0	1.0
13	0.0012882507415416808	1.0	3.443421609508018E-4
14	1.0	1.0	6.880037704915729E-4
15	1.0	1.0	1.0
17	1.0	1.0	0.900754310897792
16	0.001246312806087803	1.0	0.0012022189213284748
19	0.190318562343452	1.0	0.16479360682503352
18	1.0	1.0	1.0
21	0.4704273875607947	1.0	0.24894557274178777
20	0.1087496065057365	1.0	0.10485810112213322
23	0.32625639093269365	1.0	1.0
22	0.0012948292912830527	1.0	0.4112287520157243
25	0.0012943707867150984	1.0	2.1920720307048698E-4
24	0.3262650152926202	1.0	1.0
27	0.3029576256454426	1.0	0.42096371663279486
26	0.1631283872462681	1.0	1.3781775083247146E-4
29	0.0013000616401469926	1.0	0.45257827232665004
28	0.1603319703851957	1.0	0.7982397668685568
31	0.0611741606577213	1.0	0.6528958381380097
30	0.4893990097849438	1.0	1.0
34	0.0012882507415416808	1.0	1.0
35	0.10555673473900445	1.0	0.2713881478999194
32	0.09787779954959984	1.0	0.39416689546705697
33	0.08156433266168556	1.0	0.5085687766999034
38	0.380645051230133	1.0	1.0
39	0.09097935442244351	1.0	0.3770824803927271
36	0.001298341597261378	1.0	0.8106164842883548
37	0.17790007433093402	1.0	2.1920720307048698E-4
42	1.0	0.8931360266111597	0.40747328735687205
43	0.001290350556112388	1.0	1.0
40	0.4667034334666197	1.0	0.35031824944490525
41	0.3262661202525765	1.0	1.0
46	0.0012912186213817727	1.0	0.5563421706522239
47	0.39311979020786725	1.0	0.9673782463080709
44	0.001297717609135803	1.0	1.0
45	1.0	1.0	2.2963767185482068E-4
51	0.001296352561819028	1.0	1.0
50	0.0013003647875359237	1.0	1.0
49	0.0012938575229782924	1.0	0.7920253149672557
48	0.0012932948253889004	1.0	1.0
55	0.0013000616401469926	1.0	0.9142134312341287
54	0.16313031496803232	1.0	0.6775885087655822
53	1.0	1.0	1.0
52	0.20391516257937053	1.0	1.0
59	0.18352140409239182	1.0	0.31612909634466924
58	0.446581715816038	1.0	0.9670082214084781
57	0.001299467610596964	1.0	0.4347294768683207
56	0.0012969494315970694	1.0	1.0
63	1.0	1.0	0.8568992537782022
62	1.0	1.0	0.9054656801294847
61	0.08156041872868566	1.0	0.7849674047062458
60	0.001295255065583192	1.0	1.0
68	0.0012985292543571541	1.0	1.0
69	0.489399892095857	1.0	1.0
70	0.5823350768030751	1.0	1.0
71	1.0	1.0	1.0
64	0.020741922706398207	1.0	0.8490479657579318
65	1.0	1.0	0.9248687139511746
66	0.001295255065583192	1.0	1.0
67	1.0	0.9375626988178329	0.9192880786853035
76	0.08156334829615514	1.0	0.8344043313191811
77	0.0012919913449764685	1.0	2.6788186051901524E-4
78	1.0	1.0	1.0
79	1.0	1.0	3.214056866566142E-4
72	0.2690838478865155	1.0	1.0
73	0.06286253768707174	1.0	0.26483216993976116
74	0.1730344090867817	1.0	0.5629631138006261
75	0.001299467610596964	1.0	0.6446575287071381
85	0.03875782128705302	1.0	1.0
84	0.001289366225294881	1.0	1.0
87	0.05437262345819766	1.0	0.969965178997315
86	0.7202185024122241	1.0	2.0094758102094009E-4
81	0.0013003647875359237	1.0	0.6447566823880263
80	0.2158541568676165	1.0	8.934006567748618E-5
83	1.0	1.0	0.6754577431297952
82	0.241407818510048	1.0	1.0
93	0.4012502855231609	1.0	0.8853477114358217
92	0.2446953265892951	1.0	0.7830797843755901
95	0.001292677855946495	1.0	1.0
94	1.0	1.0	0.4658750732313046
89	0.0012948292912830527	1.0	0.7049370004019978
88	0.0012948292912830527	1.0	1.0
91	0.001289366225294881	1.0	1.0
90	0.0012969494315970694	1.0	1.6631835081487708E-4
102	0.32626331960084015	1.0	0.6755817950930716
103	0.32626697687682704	1.0	0.588035045892437
100	0.0012972250476438575	1.0	1.6077885581337458E-4
101	0.1136674892460604	1.0	0.7901801994203916
98	0.16312937456640111	1.0	0.8898611815453651
99	1.0	1.0	1.0
96	0.40217007077186046	1.0	1.0
97	0.012019576438546061	1.0	0.8824853912890839
110	0.001298341597261378	1.0	0.8781919406908543
111	0.001298147289528275	1.0	0.666354267909548
108	1.0	1.0	1.5559250436974106E-4
109	1.0	1.0	1.0
106	0.001297717609135803	1.0	0.33780736918617427
107	0.0012960098252474996	1.0	1.0
104	1.0	1.0	0.6655360907506704
105	1.0	1.0	0.9983855684672741
119	0.2667167190367483	1.0	0.9734169080506101
118	0.461642284490014	1.0	0.5681206027408708
117	0.0013015635920614545	1.0	0.6523242185567977
116	1.0	1.0	0.5485222715886273
115	0.0013015033647193674	1.0	0.7109516088174717
114	0.0012988774114829275	1.0	0.8207070706767309
113	0.001298147289528275	1.0	0.7019422397933425
112	0.001298147289528275	1.0	0.7364199577987395
127	0.001285448579348826	1.0	0.9001176754517407
126	1.0	1.0	1.0
125	1.0	0.8003768748211068	0.4142450174819188
124	1.0	1.0	1.0
123	0.2662576210177534	1.0	1.0
122	1.0	1.0	1.0
121	0.0012912186213817727	1.0	2.8362574755387234E-4
120	0.0013001714437536	1.0	1.0
137	1.0	1.0	0.7914388336588152
136	0.20974117049005797	1.0	0.27482699178380626
139	0.001298147289528275	1.0	1.418707658553301E-4
138	0.2718853260115673	1.0	1.0
141	0.2039152259112928	1.0	0.6295217906670637
